Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Tumor state]	Term Source REF	Term Accession Number	Factor Value[Tumor grade]	Term Source REF	Term Accession Number	Factor Value[Age]	Unit	Term Source REF	Term Accession Number	Factor Value[Neutral Status]	Term Source REF	Term Accession Number	Factor Value[ER status]	Term Source REF	Term Accession Number	Factor Value[HER2 status]	Term Source REF	Term Accession Number	Factor Value[Intercurrent tumors]	Term Source REF	Term Accession Number	Factor Value[Breed]	Term Source REF	Term Accession Number
16K-188	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Maltese	NCIT	http://purl.obolibrary.org/obo/NCIT_C53936	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-188	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	1			180	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Neutered	NCIT	http://purl.obolibrary.org/obo/NCIT_C158346	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C68749				Maltese		
16K-190	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Maltese	NCIT	http://purl.obolibrary.org/obo/NCIT_C53936	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-190	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	1			144	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Neutered	NCIT	http://purl.obolibrary.org/obo/NCIT_C158346	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C68749				Maltese		
16K-197	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Maltese	NCIT	http://purl.obolibrary.org/obo/NCIT_C53936	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-197	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	2			156	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C68748				Maltese		
16K-217	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Maltese	NCIT	http://purl.obolibrary.org/obo/NCIT_C53936	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-217	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	2			132	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C68748				Maltese		
16K-227	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Maltese	NCIT	http://purl.obolibrary.org/obo/NCIT_C53936	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-227	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	1			84	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C68748				Maltese		
16K-231	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Pomeranian	NCIT	http://purl.obolibrary.org/obo/NCIT_C53941	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-231	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	3			192	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C15493	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C68748	Simple carcinoma (garde 1) (1 site)			Pomeranian		
16K-233	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Shih Tzu	NCIT	http://purl.obolibrary.org/obo/NCIT_C53943	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-233	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	1			120	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Intact	NCIT	http://purl.obolibrary.org/obo/NCIT_C62399	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C68748	Spleen low-grade indolent lymphoma			Shih Tzu		
16K-234	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Not Available	NCIT	http://purl.obolibrary.org/obo/NCIT_C126101	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-234	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	2			Not Available	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Not Available	NCIT	http://purl.obolibrary.org/obo/NCIT_C126101	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C68748	Benign mixed tumor (1 site)			Not Available		
16K-239	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Maltese	NCIT	http://purl.obolibrary.org/obo/NCIT_C53936	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-239	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	1			180	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Neutered	NCIT	http://purl.obolibrary.org/obo/NCIT_C158346	Positive	NCIT	http://purl.obolibrary.org/obo/NCIT_C15492	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C68749				Maltese		
16K-242	Canis lupus familiaris	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9615	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419	Mixed Breed	NCIT	http://purl.obolibrary.org/obo/NCIT_C53951	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	16K-242	Female	NCIT	http://purl.obolibrary.org/obo/NCIT_C16576	Malignant	NCIT	http://purl.obolibrary.org/obo/NCIT_C14143	2			144	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Neutered	NCIT	http://purl.obolibrary.org/obo/NCIT_C158346	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C15493	Negative	NCIT	http://purl.obolibrary.org/obo/NCIT_C68749				Mixed Breed		
